"date","canton","tested_pos","confirmed","time"
2020-03-06,"AG",10,NA,NA
2020-03-07,"AG",14,NA,NA
2020-03-08,"AG",14,NA,NA
2020-03-09,"AG",14,NA,NA
2020-03-10,"AG",15,NA,NA
2020-03-11,"AG",17,NA,NA
2020-03-12,"AG",22,NA,NA
2020-03-13,"AG",28,NA,NA
2020-03-14,"AG",31,26," 10.30 am"
2020-03-06,"AI",0,NA,NA
2020-03-07,"AI",0,NA,NA
2020-03-08,"AI",0,NA,NA
2020-03-09,"AI",0,NA,NA
2020-03-10,"AI",0,NA,NA
2020-03-11,"AI",0,NA,NA
2020-03-12,"AI",0,NA,NA
2020-03-13,"AI",0,NA,NA
2020-03-14,"AI",0,0," 10.30 am"
2020-03-06,"AR",1,NA,NA
2020-03-07,"AR",1,NA,NA
2020-03-08,"AR",1,NA,NA
2020-03-09,"AR",2,NA,NA
2020-03-10,"AR",2,NA,NA
2020-03-11,"AR",2,NA,NA
2020-03-12,"AR",2,NA,NA
2020-03-13,"AR",5,NA,NA
2020-03-14,"AR",5,3," 10.30 am"
2020-03-06,"BE",20,NA,NA
2020-03-07,"BE",25,NA,NA
2020-03-08,"BE",31,NA,NA
2020-03-09,"BE",34,NA,NA
2020-03-10,"BE",39,NA,NA
2020-03-11,"BE",41,NA,NA
2020-03-12,"BE",51,NA,NA
2020-03-13,"BE",62,NA,NA
2020-03-14,"BE",78,69," 10.30 am"
2020-03-06,"BL",9,NA,NA
2020-03-07,"BL",13,NA,NA
2020-03-08,"BL",19,NA,NA
2020-03-09,"BL",20,NA,NA
2020-03-10,"BL",22,NA,NA
2020-03-11,"BL",23,NA,NA
2020-03-12,"BL",29,NA,NA
2020-03-13,"BL",42,NA,NA
2020-03-14,"BL",48,41," 10.30 am"
2020-03-06,"BS",17,NA,NA
2020-03-07,"BS",22,NA,NA
2020-03-08,"BS",25,NA,NA
2020-03-09,"BS",29,NA,NA
2020-03-10,"BS",39,NA,NA
2020-03-11,"BS",49,NA,NA
2020-03-12,"BS",80,NA,NA
2020-03-13,"BS",111,NA,NA
2020-03-14,"BS",119,100," 10.30 am"
2020-03-06,"CH",207,NA,NA
2020-03-07,"CH",262,NA,NA
2020-03-08,"CH",331,NA,NA
2020-03-09,"CH",372,NA,NA
2020-03-10,"CH",490,NA,NA
2020-03-11,"CH",638,NA,NA
2020-03-12,"CH",851,NA,NA
2020-03-13,"CH",1120,NA,NA
2020-03-14,"CH",1358,1188," 10.30 am"
2020-03-14,"FL",5,1," 10.30 am"
2020-03-06,"FR",7,NA,NA
2020-03-07,"FR",7,NA,NA
2020-03-08,"FR",8,NA,NA
2020-03-09,"FR",10,NA,NA
2020-03-10,"FR",12,NA,NA
2020-03-11,"FR",16,NA,NA
2020-03-12,"FR",26,NA,NA
2020-03-13,"FR",31,NA,NA
2020-03-14,"FR",38,31," 10.30 am"
2020-03-06,"GE",16,NA,NA
2020-03-07,"GE",25,NA,NA
