Date,Area,TotalTestedCases,TotalConfCases,TotalPosTests1,TotalHospitalized,TotalCured,TotalDeaths,Source,Source2,Source3
27.02.2020,Canton_BS,,0,1,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-erster-positiver-fall-in-basel-stadt-zweiter-positiv-getesteter-ausserkantonaler-fall-gd.html,,
28.02.2020,Canton_BS,,0,1,,,,https://twitter.com/BR_Sprecher/status/1233316679863631873?s=20,,
29.02.2020,Canton_BS,,0,1,,,,https://twitter.com/BAG_OFSP_UFSP/status/1233759578241863681?s=20,,
01.03.2020,Canton_BS,,1,0,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-anzahl-der-getesteten-faelle-und-zwischenstand-kita-riehen-gd.html,,
02.03.2020,Canton_BS,235,3,0,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-zwei-neue-positive-faelle-in-basel-stadt-gd.html,,
03.03.2020,Canton_BS,,3,0,,,,https://twitter.com/BAG_OFSP_UFSP/status/1234880556095213569?s=20,,
04.03.2020,Canton_BS,,3,0,,,,https://twitter.com/BAG_OFSP_UFSP/status/1235240377134862336?s=20,,
05.03.2020,Canton_BS,,8,0,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-fuenf-neue-positive-faelle-in-basel-stadt-gd.html,,
06.03.2020,Canton_BS,,15,2,,,,https://twitter.com/BAG_OFSP_UFSP/status/1235934884167852035?s=20,,
07.03.2020,Canton_BS,,21,1,,,,https://twitter.com/BAG_OFSP_UFSP/status/1236249864473894914?s=20,,
08.03.2020,Canton_BS,,24,1,,,,https://twitter.com/BAG_OFSP_UFSP/status/1236609191831384064?s=20,,
09.03.2020,Canton_BS,,28,1,,,,https://twitter.com/BAG_OFSP_UFSP/status/1236973685602426881?s=20,,
10.03.2020,Canton_BS,,33,0,,,,https://twitter.com/BAG_OFSP_UFSP/status/1237336196772175873?s=20,,
11.03.2020,Canton_BS,,37,12,,,,https://twitter.com/BAG_OFSP_UFSP/status/1237694819419422720?s=20,,
12.03.2020,Canton_BS,,73,7,,4,1,https://twitter.com/BAG_OFSP_UFSP/status/1238073089902235648?s=20,https://www.coronavirus.bs.ch/nm/2020-coronavirus-ende-der-quarantaenemassnahmen-im-fall-kita-riehen-gd.html,https://www.coronavirus.bs.ch/nm/2020-coronavirus-erster-todesfall-im-kanton-basel-stadt-gd.html
13.03.2020,Canton_BS,,92,19,,,1,https://twitter.com/BAG_OFSP_UFSP/status/1238430659762364417?s=20,,
14.03.2020,Canton_BS,,100,19,,,1,https://twitter.com/BAG_OFSP_UFSP/status/1238773726423941127?s=20,,
16.03.2020,Canton_BS,,144,,,,4,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-144-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,,
17.03.2020,Canton_BS,,165,,30,25,4,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-165-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,,
