DistrictId,District,Canton,Date,Week,Year,Population,TotalConfCases,NewConfCases,TotalDeaths,NewDeaths,SourceUrl
1901,Aarau,AG,2020-10-26,,,79702,353,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1901,Aarau,AG,2020-11-04,,,79702,527,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1902,Baden,AG,2020-10-26,,,145696,735,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1902,Baden,AG,2020-11-04,,,145696,1079,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1903,Bremgarten,AG,2020-10-26,,,78745,277,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1903,Bremgarten,AG,2020-11-04,,,78745,430,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1904,Brugg,AG,2020-10-26,,,51814,179,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1904,Brugg,AG,2020-11-04,,,51814,270,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1905,Kulm,AG,2020-10-26,,,42412,153,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1905,Kulm,AG,2020-11-04,,,42412,232,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1906,Laufenburg,AG,2020-10-26,,,33035,96,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1906,Laufenburg,AG,2020-11-04,,,33035,130,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1907,Lenzburg,AG,2020-10-26,,,64792,261,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1907,Lenzburg,AG,2020-11-04,,,64792,378,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1908,Muri,AG,2020-10-26,,,37170,152,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1908,Muri,AG,2020-11-04,,,37170,213,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1909,Rheinfelden,AG,2020-10-26,,,47926,158,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1909,Rheinfelden,AG,2020-11-04,,,47926,235,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1910,Zofingen,AG,2020-10-26,,,73136,271,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1910,Zofingen,AG,2020-11-04,,,73136,408,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1911,Zurzach,AG,2020-10-26,,,34650,127,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
1911,Zurzach,AG,2020-11-04,,,34650,206,,,,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp
