Year,Area,AgeYearCat,Gender,Inhabitants
2019,Canton_ZH,0-9,M,82878
2019,Canton_ZH,0-9,F,78735
2019,Canton_ZH,10-19,M,72994
2019,Canton_ZH,10-19,F,68488
2019,Canton_ZH,100+,M,45
2019,Canton_ZH,100+,F,200
2019,Canton_ZH,20-29,M,95172
2019,Canton_ZH,20-29,F,91194
2019,Canton_ZH,30-39,M,127998
2019,Canton_ZH,30-39,F,125184
2019,Canton_ZH,40-49,M,116400
2019,Canton_ZH,40-49,F,111604
2019,Canton_ZH,50-59,M,112667
2019,Canton_ZH,50-59,F,107919
2019,Canton_ZH,60-69,M,73383
2019,Canton_ZH,60-69,F,78006
2019,Canton_ZH,70-79,M,54372
2019,Canton_ZH,70-79,F,63877
2019,Canton_ZH,80-89,M,24989
2019,Canton_ZH,80-89,F,36988
2019,Canton_ZH,90-99,M,4020
2019,Canton_ZH,90-99,F,9293
