date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source
2020-02-27,,FL,3,,,,,,,https://www.regierung.li/media/attachments/83-verdachtsfaelle-negativ-getestet.pdf?t=637202562374055719
2020-03-01,,FL,,0,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-02,,FL,,0,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-03,,FL,14,1,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-04,,FL,16,1,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-05,,FL,18,1,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-06,,FL,22,1,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-07,,FL,,1,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-08,,FL,,1,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-09,,FL,24,1,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-10,,FL,37,1,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-11,,FL,50,3,,,,1,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-12,,FL,57,4,,,,1,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-13,,FL,,5,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-14,,FL,99,7,,,,1,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-15,,FL,,7,,,,1,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-16,,FL,,12,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-17,,FL,,19,,,,1,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-18,,FL,,28,,,,1,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-19,,FL,,28,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-20,,FL,,37,,,,1,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-21,,FL,,44,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-22,,FL,,46,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-23,18:00,FL,,51,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-24,,FL,,51,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-25,,FL,,53,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-26,,FL,900,56,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-27,,FL,,60,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-28,,FL,,61,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-29,,FL,,62,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-30,,FL,,64,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-03-31,,FL,,68,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-01,,FL,,72,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-02,,FL,,75,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-03,,FL,,76,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-04,,FL,,77,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-05,,FL,,77,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-06,,FL,,77,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-07,,FL,,78,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-08,,FL,,78,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-09,,FL,,79,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-10,,FL,,79,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-11,,FL,,79,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-12,,FL,,80,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-13,,FL,,80,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-14,,FL,,80,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-15,,FL,,80,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-16,,FL,,80,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-17,,FL,,81,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-18,,FL,,81,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-19,,FL,,81,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-20,,FL,,81,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-21,,FL,,81,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-22,,FL,,81,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-23,,FL,,81,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-24,,FL,,82,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-25,,FL,,82,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-26,,FL,,82,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-27,,FL,,82,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-28,,FL,,82,,,,,1,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-29,,FL,,82,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-04-30,,FL,,82,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-05-01,,FL,,82,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-05-02,,FL,,82,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-05-03,,FL,,82,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-05-04,,FL,,82,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-05-05,,FL,,82,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-05-06,,FL,,82,,,,,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
