date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source
2020-03-13,12:00,OW,6,1,"","","","","",https://www.ow.ch/de/aktuelles/aktuellesinformationen/amtsmitteilungen/welcome.php?action=showinfo&info_id=63566&ls=0&sq=&kategorie_id=&date_from=&date_to=
2020-03-23,"",OW,"",25,"","","","","",https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020-03-24,"",OW,"",25,"","","","","",https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020-03-25,"",OW,"",27,"","","","","",https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020-03-26,"",OW,"",30,"","","","","",https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020-03-27,"",OW,"",37,"","","","","",https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020-03-30,"",OW,"",46,"","","","","",https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020-03-31,"",OW,"",46,"","","","","",https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020-04-01,"",OW,"",48,"","","","","",https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020-04-02,"",OW,"",51,"","","","","",https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020-04-03,"",OW,"",56,"","","","","",https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
