date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source
2020-03-06,12:00,SO,"",1,"","","","","",https://so.ch/startseite/aktuell/news/erster-laborbestaetigter-covid-19-fall-im-kanton-solothurn/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=3074bbdc8f0fcdcb9f1e11a21fc05e73
2020-03-18,"",SO,"",43,"","","","","",https://www.oltnertagblatt.ch/solothurn/kanton-solothurn/zivilschuetzer-kontrollieren-wer-in-die-solothurner-spitaeler-rein-will-137174885
2020-03-20,17:37,SO,"",66,"","","","","",https://twitter.com/KantonSolothurn/status/1241041303024041989?p=p
2020-03-23,12:00,SO,"",95,"","","","",1,https://corona.so.ch/
2020-03-24,00:00,SO,"",104,"","","","",1,https://corona.so.ch/
2020-03-25,00:00,SO,"",129,"","","","",1,https://corona.so.ch/
2020-03-26,00:00,SO,"",141,"","","","",1,https://corona.so.ch/
2020-03-27,00:00,SO,"",157,"","","","",1,https://corona.so.ch/
2020-03-28,00:00,SO,"",173,"","","","",1,https://corona.so.ch/
2020-03-29,00:00,SO,"",190,"","","","",2,https://corona.so.ch/
2020-03-31,00:00,SO,"",190,"","","","","",https://corona.so.ch/
