date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source,current_quarantined_total
2020-02-27,14:30,ZH,,2,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-02-28,14:30,ZH,,2,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-02-29,14:30,ZH,,6,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-01,14:30,ZH,,7,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-02,14:30,ZH,,10,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-03,14:30,ZH,,13,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-04,14:30,ZH,,15,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-05,14:30,ZH,,23,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-06,14:30,ZH,,29,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-07,14:30,ZH,,34,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-08,14:30,ZH,,40,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-09,14:30,ZH,,49,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-10,14:30,ZH,,62,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-11,14:30,ZH,,101,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-12,14:30,ZH,,140,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-13,14:30,ZH,,163,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-14,14:30,ZH,,218,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-15,14:30,ZH,,250,,,,,1,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-16,14:30,ZH,,326,,,,,1,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-17,14:30,ZH,,429,,,,,1,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-18,14:30,ZH,,568,,,,,2,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-19,14:30,ZH,,679,60,,12,,3,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-20,14:30,ZH,,711,78,,15,,4,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-21,14:30,ZH,,919,83,,23,,5,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-22,14:30,ZH,,978,110,,22,,6,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-23,14:30,ZH,,1067,127,,27,,6,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-24,14:30,ZH,,1213,138,,26,,8,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-25,14:30,ZH,,1357,146,,28,,10,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-26,14:30,ZH,,1489,156,,35,,13,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-27,14:30,ZH,,1616,171,,38,,15,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-28,14:30,ZH,,1690,187,,42,,19,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-29,14:30,ZH,,1722,194,,46,,22,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-30,14:30,ZH,,1848,197,,46,,24,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-03-31,14:30,ZH,,1936,196,,50,,27,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-01,14:30,ZH,,2125,203,,54,,36,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-02,14:30,ZH,,2289,200,,53,,39,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-03,14:30,ZH,,2417,207,,57,,41,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-04,14:30,ZH,,2450,194,,59,,48,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-05,14:30,ZH,,2480,194,,59,,52,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-06,14:30,ZH,,2594,198,,58,,54,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-07,14:30,ZH,,2677,181,,60,,56,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-08,14:30,ZH,,2771,170,,56,,64,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-09,14:30,ZH,,2868,165,,55,,66,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-10,14:30,ZH,,2908,152,,50,,71,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-11,14:30,ZH,,2966,149,,50,,77,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-12,14:30,ZH,,2983,153,,49,,79,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-13,14:30,ZH,,3000,154,,50,,83,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-14,14:30,ZH,,3047,149,,52,,87,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-15,14:30,ZH,,3094,136,,50,,91,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-16,14:30,ZH,,3129,135,,51,,95,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-17,14:30,ZH,,3152,123,,45,,100,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-18,14:30,ZH,,3191,114,,44,,105,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-19,14:30,ZH,,3218,116,,43,,105,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-20,14:30,ZH,,3234,121,,43,,107,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-21,14:30,ZH,,3259,110,,41,,109,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-22,14:30,ZH,,3299,110,,44,,110,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-23,14:30,ZH,,3315,96,,44,,113,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-24,14:30,ZH,,3342,83,46,42,,114,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-25,14:30,ZH,,3373,77,44,38,,115,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-26,14:30,ZH,,3376,75,33,26,,115,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-27,14:30,ZH,,3394,73,33,24,,119,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-28,14:30,ZH,,3409,84,25,19,,119,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-29,14:30,ZH,,3438,82,25,19,,121,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-04-30,14:30,ZH,,3449,61,21,15,,123,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-01,14:30,ZH,,3462,43,20,14,,123,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-02,14:30,ZH,,3465,41,19,13,,123,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-03,14:30,ZH,,3469,42,19,12,,123,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-04,14:30,ZH,,3471,43,18,11,,123,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-05,14:30,ZH,,3487,54,16,9,,124,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-06,14:30,ZH,,3502,53,14,7,,125,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-07,14:30,ZH,,3512,50,12,7,,125,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-08,14:30,ZH,,3522,47,8,5,,125,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-09,14:30,ZH,,3527,37,8,5,,126,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-10,14:30,ZH,,3530,40,10,5,,126,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-11,14:30,ZH,,3535,44,10,5,,126,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-12,14:30,ZH,,3537,44,9,7,,126,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-13,14:30,ZH,,3543,38,11,8,,126,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-14,14:30,ZH,,3548,36,12,7,,126,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-15,14:30,ZH,,3550,33,12,7,,127,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-16,14:30,ZH,,3555,32,13,8,,127,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-17,14:30,ZH,,3557,33,12,8,,127,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-18,14:30,ZH,,3561,33,12,8,,127,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-19,14:30,ZH,,3565,30,8,6,,128,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-20,14:30,ZH,,3568,29,7,4,,128,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-21,14:30,ZH,,3569,25,6,3,,129,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-22,14:30,ZH,,3571,31,8,4,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-23,14:30,ZH,,3573,26,7,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-24,14:30,ZH,,3574,28,8,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-25,14:30,ZH,,3576,23,8,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-26,14:30,ZH,,3582,19,6,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-27,14:30,ZH,,3585,18,4,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-28,14:30,ZH,,3590,20,2,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-29,14:30,ZH,,3596,15,0,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-30,14:30,ZH,,3602,12,0,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-05-31,14:30,ZH,,3602,11,3,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-01,14:30,ZH,,3602,11,3,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-02,14:30,ZH,,3604,11,1,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-03,14:30,ZH,,3607,9,5,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-04,14:30,ZH,,3615,9,5,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-05,14:30,ZH,,3621,8,2,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-06,14:30,ZH,,3625,7,2,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-07,14:30,ZH,,3625,7,2,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-08,14:30,ZH,,3625,7,0,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-09,14:30,ZH,,3625,6,0,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-10,14:30,ZH,,3628,7,0,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-11,14:30,ZH,,3630,8,0,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-12,14:30,ZH,,3632,9,0,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-13,14:30,ZH,,3635,8,1,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-14,14:30,ZH,,3640,9,1,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-15,14:30,ZH,,3647,9,1,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-16,14:30,ZH,,3654,8,0,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-17,14:30,ZH,,3664,8,0,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-18,14:30,ZH,,3669,10,0,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-19,14:30,ZH,,3670,9,0,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-20,14:30,ZH,,3677,10,1,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-21,14:30,ZH,,3682,10,0,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-22,14:30,ZH,,3685,11,1,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-23,14:30,ZH,,3689,10,1,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-24,14:30,ZH,,3705,8,1,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-25,14:30,ZH,,3712,7,4,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-26,14:30,ZH,,3731,7,5,1,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-27,14:30,ZH,,3743,8,5,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-28,14:30,ZH,,3754,8,5,0,,130,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-29,14:30,ZH,,3763,10,7,1,,131,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-06-30,14:30,ZH,,3791,12,2,0,,131,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-01,14:30,ZH,,3839,13,2,0,,131,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-02,14:30,ZH,,3895,10,0,0,,131,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-03,14:30,ZH,,3918,8,0,0,,131,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-04,14:30,ZH,,3931,9,0,0,,131,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-05,14:30,ZH,,3939,11,0,1,,131,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-06,14:30,ZH,,3958,12,2,2,,131,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-07,14:30,ZH,,3983,13,2,2,,131,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-08,14:30,ZH,,4006,11,4,3,,133,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-09,14:30,ZH,,4025,12,5,3,,133,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-10,14:30,ZH,,4045,12,5,3,,133,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-11,14:30,ZH,,4056,12,5,3,,133,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-12,14:30,ZH,,4074,20,6,3,,133,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-13,14:30,ZH,,4091,26,7,5,,133,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-14,14:30,ZH,,4118,24,10,6,,133,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-15,14:30,ZH,,4150,24,9,6,,134,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-16,14:30,ZH,,4165,23,8,6,,134,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-17,14:30,ZH,,4194,26,9,6,,134,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-18,14:30,ZH,,4209,24,7,6,,134,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-19,14:30,ZH,,4222,24,7,6,,134,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-20,14:30,ZH,,4237,29,6,4,,135,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-21,14:30,ZH,,4275,26,5,3,,135,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-22,14:30,ZH,,4302,24,5,3,,135,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-23,14:30,ZH,,4326,24,4,3,,135,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-24,14:30,ZH,,4349,26,5,2,,136,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-25,14:30,ZH,,4363,26,4,1,,136,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-26,14:30,ZH,,4369,24,4,1,,136,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-27,14:30,ZH,,4389,26,5,2,,136,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-28,14:30,ZH,,4414,25,7,3,,136,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-29,14:30,ZH,,4459,27,8,3,,136,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-30,14:30,ZH,,4489,27,7,5,,136,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-07-31,14:30,ZH,,4520,34,7,5,,136,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-01,14:30,ZH,,4543,36,7,5,,136,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-02,14:30,ZH,,4554,36,7,4,,136,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-03,14:30,ZH,,4566,36,6,4,,136,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-04,14:30,ZH,,4584,35,6,4,,137,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-05,14:30,ZH,,4635,29,6,4,,137,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-06,14:30,ZH,,4670,25,5,4,,138,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-07,14:30,ZH,,4702,25,7,6,,138,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-08,14:30,ZH,,4743,26,7,6,,138,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-09,14:30,ZH,,4759,28,7,6,,138,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-10,14:30,ZH,,4798,27,5,5,,139,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-11,14:30,ZH,,4862,27,5,5,,139,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-12,14:30,ZH,,4914,27,5,5,,139,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-13,14:30,ZH,,4970,27,6,6,,139,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-14,14:30,ZH,,5030,26,6,6,,139,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-15,14:30,ZH,,5091,26,6,6,,139,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-16,14:30,ZH,,5120,29,7,7,,139,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-17,14:30,ZH,,5164,33,9,9,,139,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-18,14:30,ZH,,5231,33,9,9,,139,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-19,14:30,ZH,,5300,32,9,9,,139,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-20,14:30,ZH,,5375,30,10,8,,139,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-21,14:30,ZH,,5458,25,9,7,,140,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-22,14:30,ZH,,5502,23,12,7,,140,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-23,14:30,ZH,,5543,25,11,6,,140,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-24,14:30,ZH,,5575,22,9,5,,141,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-25,14:30,ZH,,5625,16,9,5,,141,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-26,14:30,ZH,,5742,19,8,6,,141,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-27,14:30,ZH,,5838,18,7,5,,141,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-28,14:30,ZH,,5926,19,9,6,,141,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-29,14:30,ZH,,5989,19,8,5,,141,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-30,14:30,ZH,,6042,21,9,5,,142,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-08-31,14:30,ZH,,6062,22,8,6,,142,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-09-01,14:30,ZH,,6130,26,7,6,,142,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-09-02,14:30,ZH,,6221,27,11,7,,142,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-09-03,14:30,ZH,,6293,28,11,7,,142,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-09-04,14:30,ZH,,6389,28,11,7,,142,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-09-05,14:30,ZH,,6467,30,13,8,,142,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-09-06,14:30,ZH,,6509,31,12,8,,142,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-09-07,14:30,ZH,,6552,34,12,8,,142,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-09-08,14:30,ZH,,6647,31,11,9,,143,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-09-09,14:30,ZH,,6708,29,10,8,,143,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-09-10,14:30,ZH,,6793,26,10,8,,143,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-09-11,14:30,ZH,,6881,25,10,8,,145,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-09-12,14:30,ZH,,6957,22,10,8,,145,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-09-13,14:30,ZH,,7004,23,10,8,,145,https://www.zh.ch/de/gesundheit/coronavirus.html,
2020-09-14,14:30,ZH,,7023,25,10,9,,145,https://www.zh.ch/de/gesundheit/coronavirus.html,
