date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,ncumul_confirmed_non_resident,current_hosp_non_resident,current_quarantined_riskareatravel,current_quarantined_total
27.02.2020,19:17,BS,,1,,,,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-erster-positiver-fall-in-basel-stadt-zweiter-positiv-getesteter-ausserkantonaler-fall-gd.html,,,1,,,
28.02.2020,10:15,BS,,1,,,,,,,https://twitter.com/BR_Sprecher/status/1233316679863631873?s=20,,,1,,,
29.02.2020,15:23,BS,,1,,,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1233759578241863681?s=20,,,1,,,
01.03.2020,17:29,BS,,1,,,,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-anzahl-der-getesteten-faelle-und-zwischenstand-kita-riehen-gd.html,,,1,,,
02.03.2020,17:15,BS,235,1,,,,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-zwei-neue-positive-faelle-in-basel-stadt-gd.html,,,3,,,
03.03.2020,17:30,BS,,3,,,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1234880556095213569?s=20,,,3,,,
04.03.2020,17:20,BS,,3,,,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1235240377134862336?s=20,,,3,,,
05.03.2020,17:15,BS,,8,,1,,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-fuenf-neue-positive-faelle-in-basel-stadt-gd.html,,,3,,,
06.03.2020,14:00,BS,,15,,1,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1235934884167852035?s=20,,,3,,,
07.03.2020,12:00,BS,,21,,1,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1236249864473894914?s=20,,,3,,,
08.03.2020,12:00,BS,,24,,1,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1236609191831384064?s=20,,,3,,,
09.03.2020,12:00,BS,,28,,1,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1236973685602426881?s=20,,,3,,,
10.03.2020,12:00,BS,,33,,1,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1237336196772175873?s=20,,,3,,,
11.03.2020,12:00,BS,,49,,13,2,,4,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-ende-der-quarantaenemassnahmen-im-fall-kita-riehen-gd.html,36,,3,,,
