date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total
2020-03-11,,SH,,1,,,,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-12,,SH,,1,,,,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-13,,SH,,1,,,,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-14,,SH,,1,,,,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-15,,SH,,1,,,,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-16,,SH,,2,,,,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-17,,SH,,2,,,,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-18,,SH,,8,,,,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-19,,SH,,12,,,,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-20,,SH,,17,,,,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-21,,SH,,28,,,,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-22,,SH,,30,,,,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-23,,SH,,32,,,,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-24,,SH,,34,,,,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-25,,SH,,35,,4,1,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-26,,SH,,36,,7,1,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-27,,SH,,37,,7,1,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-28,,SH,,40,,5,1,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-29,,SH,,41,,7,1,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-30,,SH,,42,,11,3,,,0,https://coviddashboard.sh.ch/,,,,
2020-03-31,,SH,,44,,10,3,,,1,https://coviddashboard.sh.ch/,,,,
2020-04-01,,SH,,44,,8,3,,,1,https://coviddashboard.sh.ch/,,,,
2020-04-02,,SH,,47,,10,3,,,1,https://coviddashboard.sh.ch/,,,,
2020-04-03,,SH,,47,,6,3,,,1,https://coviddashboard.sh.ch/,,,,
2020-04-04,,SH,,47,,6,3,,,1,https://coviddashboard.sh.ch/,,,,
2020-04-05,,SH,,49,,6,3,,,1,https://coviddashboard.sh.ch/,,,,
2020-04-06,,SH,,50,,6,3,,,1,https://coviddashboard.sh.ch/,,,,
