"Kalenderwoche","Einreiseland","Anzahl_Einreisende","woche_von","woche_bis"
1,"andere",104,"2020-07-13","2020-07-19"
1,"Andorra",11,"2020-07-13","2020-07-19"
1,"Deutschland",22,"2020-07-13","2020-07-19"
1,"Italien",19,"2020-07-13","2020-07-19"
1,"Kroatien",57,"2020-07-13","2020-07-19"
1,"Luxemburg",32,"2020-07-13","2020-07-19"
1,"Portugal",11,"2020-07-13","2020-07-19"
1,"Schweden",45,"2020-07-13","2020-07-19"
1,"Serbien",174,"2020-07-13","2020-07-19"
1,"Slowenien",15,"2020-07-13","2020-07-19"
1,"Südafrika",117,"2020-07-13","2020-07-19"
1,"USA",50,"2020-07-13","2020-07-19"
1,"Vereinigtes Königreich",47,"2020-07-13","2020-07-19"
2,"andere",34,"2020-07-13","2020-07-19"
2,"Deutschland",13,"2020-07-13","2020-07-19"
2,"Kroatien",29,"2020-07-13","2020-07-19"
2,"Luxemburg",11,"2020-07-13","2020-07-19"
2,"Schweden",17,"2020-07-13","2020-07-19"
2,"Serbien",187,"2020-07-13","2020-07-19"
2,"Slowenien",11,"2020-07-13","2020-07-19"
2,"Südafrika",51,"2020-07-13","2020-07-19"
2,"USA",55,"2020-07-13","2020-07-19"
2,"Vereinigtes Königreich",22,"2020-07-13","2020-07-19"
3,"andere",22,"2020-07-13","2020-07-19"
3,"Brasilien",144,"2020-07-13","2020-07-19"
3,"Deutschland",11,"2020-07-13","2020-07-19"
3,"Niederlande",17,"2020-07-13","2020-07-19"
3,"Schweden",14,"2020-07-13","2020-07-19"
3,"Serbien",39,"2020-07-13","2020-07-19"
3,"Südafrika",30,"2020-07-13","2020-07-19"
3,"Tschechien",15,"2020-07-13","2020-07-19"
3,"USA",15,"2020-07-13","2020-07-19"
3,"Vereinigtes Königreich",14,"2020-07-13","2020-07-19"
4,"andere",49,"2020-07-13","2020-07-19"
4,"Brasilien",128,"2020-07-13","2020-07-19"
4,"Italien",18,"2020-07-13","2020-07-19"
4,"Schweden",30,"2020-07-13","2020-07-19"
4,"Spanien",11,"2020-07-13","2020-07-19"
4,"Südafrika",23,"2020-07-13","2020-07-19"
4,"Tschechien",21,"2020-07-13","2020-07-19"
4,"USA",15,"2020-07-13","2020-07-19"
5,"andere",47,"2020-07-13","2020-07-19"
5,"Brasilien",88,"2020-07-13","2020-07-19"
5,"Italien",18,"2020-07-13","2020-07-19"
5,"Niederlande",13,"2020-07-13","2020-07-19"
5,"Portugal",45,"2020-07-13","2020-07-19"
5,"Schweden",41,"2020-07-13","2020-07-19"
5,"Slowenien",11,"2020-07-13","2020-07-19"
5,"Spanien",161,"2020-07-13","2020-07-19"
5,"Tschechien",15,"2020-07-13","2020-07-19"
5,"USA",37,"2020-07-13","2020-07-19"
5,"Vereinigtes Königreich",24,"2020-07-13","2020-07-19"
6,"andere",36,"2020-07-13","2020-07-19"
6,"Brasilien",65,"2020-07-13","2020-07-19"
6,"Montenegro",13,"2020-07-13","2020-07-19"
6,"Niederlande",20,"2020-07-13","2020-07-19"
6,"Portugal",48,"2020-07-13","2020-07-19"
6,"Schweden",19,"2020-07-13","2020-07-19"
6,"Slowenien",15,"2020-07-13","2020-07-19"
6,"Spanien",135,"2020-07-13","2020-07-19"
6,"Südafrika",16,"2020-07-13","2020-07-19"
6,"Tschechien",16,"2020-07-13","2020-07-19"
6,"USA",21,"2020-07-13","2020-07-19"
6,"Vereinigtes Königreich",18,"2020-07-13","2020-07-19"
