date,n_PCR,new_voc
2021-02-06,189,27
2021-02-05,194,31
2021-02-04,209,37
2021-02-03,215,40
2021-02-02,272,67
2021-02-01,144,37
2021-01-31,65,12
2021-01-30,193,33
2021-01-29,208,32
2021-01-28,287,33
2021-01-27,273,32
2021-01-26,316,40
2021-01-25,152,25
2021-01-24,115,16
2021-01-23,245,18
2021-01-22,390,23
2021-01-21,197,17
2021-01-20,301,14
2021-01-19,336,9
2021-01-18,217,6
2021-01-17,103,5
2021-01-16,251,8
2021-01-15,277,10
2021-01-14,273,5
2021-01-13,352,4
2021-01-12,392,8
2021-01-11,291,3
2021-01-10,163,0
2021-01-09,347,0
2021-01-08,446,6
2021-01-07,449,2
2021-01-06,616,4
2021-01-05,658,6
2021-01-04,494,2
2021-01-03,280,0
2021-01-02,388,2
2021-01-01,204,0
2020-12-31,638,0
2020-12-30,595,2
2020-12-29,731,4
2020-12-28,368,1
2020-12-27,284,0
2020-12-26,429,2
2020-12-25,229,0
2020-12-24,793,0
2020-12-23,855,1
2020-12-22,736,0
2020-12-21,414,1
2020-12-20,312,0
2020-12-19,494,2
2020-12-18,723,0
