date,abbreviation_canton_and_fl,ncumul_conf_outlier
2020-08-11,ZH,ignore
2020-08-11,AG,ignore
2020-08-16,SG,ignore
2020-08-18,AG,ignore
2020-08-19,AG,ignore
2020-08-20,VD,ignore
2020-08-21,FR,ignore
2020-08-21,VD,ignore
2020-08-22,FR,ignore
2020-08-23,FR,ignore
2020-08-26,FR,ignore
2020-08-26,ZH,ignore
2020-08-28,SO,ignore
2020-09-06,FR,ignore
2020-09-09,FR,ignore
2020-09-10,VD,ignore
2020-09-11,NE,ignore
2020-09-11,VD,ignore
2020-09-16,BE,ignore
2020-09-16,GE,ignore
2020-09-16,VS,ignore
2020-09-17,SG,ignore
2020-09-18,BE,ignore
2020-09-19,BE,ignore
2020-09-30,ZH,ignore
2020-10-01,NE,ignore
2020-10-04,ZH,ignore
2020-10-05,NE,ignore
2020-10-05,LU,ignore
2020-10-05,SG,ignore
2020-10-05,SO,ignore
2020-10-05,SZ,ignore
2020-10-05,TI,ignore
2020-10-05,ZG,ignore
2020-10-06,AG,ignore
2020-10-06,GE,ignore
2020-10-06,GR,ignore
2020-10-06,NE,ignore
2020-10-06,SG,ignore
2020-10-06,SZ,ignore
2020-10-06,TG,ignore
2020-10-06,VS,ignore
2020-10-06,ZG,ignore
2020-10-06,ZH,ignore
2020-10-07,AG,ignore
2020-10-07,SG,ignore
2020-10-07,SO,ignore
2020-10-07,SZ,ignore
2020-10-07,TI,ignore
2020-10-07,TG,ignore
2020-10-07,VS,ignore
2020-10-07,ZG,ignore
2020-10-07,ZH,ignore
2020-10-08,BE,ignore
2020-10-08,GR,ignore
2020-10-08,LU,ignore
2020-10-08,SZ,ignore
2020-10-08,TI,ignore
2020-10-08,ZG,ignore
2020-10-09,FR,ignore
2020-10-10,FR,ignore
2020-10-12,AI,ignore
2020-10-12,BS,ignore
2020-10-12,LU,ignore
2020-10-12,SG,ignore
2020-10-12,SO,ignore
2020-10-12,TI,ignore
2020-10-12,VS,ignore
2020-10-12,ZG,ignore
2020-10-13,AG,ignore
2020-10-13,AR,ignore
2020-10-13,BL,ignore
2020-10-13,FL,ignore
2020-10-13,GE,ignore
2020-10-13,JU,ignore
2020-10-13,VD,ignore
2020-10-14,AG,ignore
2020-10-14,BE,ignore
2020-10-14,TI,ignore
2020-10-15,BE,ignore
2020-10-15,BL,ignore
2020-10-15,GR,ignore
2020-10-15,ZH,ignore
2020-10-16,AR,ignore
2020-10-16,ZH,ignore
2020-10-19,AI,ignore
2020-10-19,GL,ignore
2020-10-19,LU,ignore
2020-10-19,OW,ignore
2020-10-19,SG,ignore
2020-10-19,SH,ignore
2020-10-19,SO,ignore
2020-10-19,SZ,ignore
2020-10-19,UR,ignore
2020-10-19,VS,ignore
2020-10-19,ZG,ignore
2020-10-20,AG,ignore
2020-10-20,GE,ignore
2020-10-21,AG,ignore
2020-10-21,BE,ignore
2020-10-21,GR,ignore
2020-10-21,SZ,ignore
2020-10-21,TI,ignore
2020-10-21,UR,ignore
2020-10-22,BE,ignore
2020-10-22,BS,ignore
2020-10-22,GE,ignore
2020-10-22,SH,ignore
2020-10-22,BS,ignore
2020-10-22,GR,ignore
2020-10-23,BS,ignore
2020-10-23,FR,ignore
2020-10-23,TI,ignore
2020-10-24,BL,ignore
2020-10-24,FR,ignore
2020-10-24,TG,ignore
2020-10-25,JU,ignore
2020-10-26,AR,ignore
2020-10-26,FL,ignore
2020-10-26,GL,ignore
2020-10-26,LU,ignore
2020-10-26,OW,ignore
2020-10-26,SG,ignore
2020-10-26,SH,ignore
2020-10-26,SO,ignore
2020-10-26,SZ,ignore
2020-10-26,UR,ignore
2020-10-26,ZG,ignore
2020-10-27,AG,ignore
2020-10-27,NE,ignore
2020-10-27,TG,ignore
2020-10-28,AG,ignore
2020-10-29,BS,ignore
2020-10-30,FR,ignore
2020-10-30,GR,ignore
2020-10-30,LU,ignore
2020-10-30,NW,ignore
2020-10-31,ZG,ignore
2020-11-01,FL,ignore
2020-11-02,AR,ignore
2020-11-02,GL,ignore
2020-11-02,SH,ignore
2020-11-02,SZ,ignore
2020-11-03,SO,ignore
2020-11-05,TI,ignore
2020-11-06,ZH,ignore
2020-11-09,OW,ignore
2020-11-09,SH,ignore
2020-11-09,SO,ignore
2020-11-11,GR,ignore
2020-11-11,TI,ignore
2020-11-13,ZG,ignore
2020-11-15,UR,ignore
2020-11-16,AR,ignore
2020-11-16,SH,ignore
2020-11-16,SO,ignore
2020-11-17,BL,ignore
2020-11-17,FL,ignore
2020-11-18,ZH,ignore
2020-11-20,GR,ignore
2020-11-21,GR,ignore
2020-11-23,SO,ignore
2020-11-24,GL,ignore
2020-11-25,BE,ignore
2020-11-26,BS,ignore
2020-11-30,SH,ignore
2020-11-30,SO,ignore
2020-11-30,VS,ignore
2020-12-04,GL,ignore
2020-12-07,SH,ignore
2020-12-07,SO,ignore
2020-12-07,UR,ignore
2020-12-09,AI,ignore
2020-12-09,GL,ignore
2020-12-11,LU,ignore
2020-12-12,SZ,ignore
2020-12-13,SZ,ignore
2020-12-14,GL,ignore
2020-12-14,GR,ignore
2020-12-14,SH,ignore
2020-12-14,SO,ignore
2020-12-14,VS,ignore
2020-12-15,GE,ignore
2020-12-15,JU,ignore
2020-12-16,JU,ignore
2020-12-21,AR,ignore
2020-12-21,SH,ignore
2020-12-21,SO,ignore
2020-12-21,UR,ignore
2020-12-21,VS,ignore
2020-12-22,NW,ignore
2020-12-23,NW,ignore
2020-12-24,FR,ignore
2020-12-28,SH,ignore
2020-12-28,SO,ignore
2020-12-29,JU,ignore
2020-12-30,JU,ignore
2020-12-31,AR,ignore
2021-01-04,AI,ignore
2021-01-04,OW,ignore
2021-01-04,SH,ignore
2021-01-04,SO,ignore
2021-01-04,VS,ignore
2021-01-05,BL,ignore
2021-01-05,NW,ignore
2021-01-06,BE,ignore
2021-01-06,BL,ignore
2021-01-06,FL,ignore
2021-01-06,GL,ignore
2021-01-11,OW,ignore
2021-01-11,SO,ignore
2021-01-11,UR,ignore
2021-01-16,NW,ignore
2021-01-18,GE,ignore
2021-01-18,OW,ignore
2021-01-18,UR,ignore
2021-01-25,GL,ignore
2021-01-25,OW,ignore
2021-01-25,VD,ignore
2021-01-28,SZ,ignore
2021-01-29,GR,ignore
2021-01-29,JU,ignore
2021-01-31,SZ,ignore
2021-02-01,VD,ignore
2021-02-03,BS,ignore
2021-02-05,GR,ignore
2021-02-05,TI,ignore
2021-02-08,SO,ignore
2021-02-10,LU,ignore
2021-02-10,TI,ignore
2021-02-11,TI,ignore
2021-02-15,SO,ignore
2021-02-22,SO,ignore
2021-02-23,FR,ignore
2021-02-23,GE,ignore
2021-02-27,JU,ignore
2021-02-27,SZ,ignore
2021-03-01,GE,ignore
2021-03-01,SG,ignore
2021-03-01,SO,ignore
2021-03-01,VD,ignore
2021-03-02,FR,ignore
2021-03-02,JU,ignore
2021-03-02,VD,ignore
2021-03-05,BL,ignore
2021-03-08,SG,ignore
2021-03-09,GR,ignore
2021-03-09,LU,ignore
2021-03-09,ZG,ignore
2021-03-10,SZ,ignore
2021-03-10,TI,ignore
2021-03-11,AG,ignore
2021-03-11,ZG,ignore
2021-03-12,GR,ignore
2021-03-16,AG,ignore
2021-03-16,LU,ignore
2021-03-17,FR,ignore
2021-03-17,TI,ignore
2021-03-19,TI,ignore
2021-03-22,SG,ignore
2021-03-22,SO,ignore
2021-03-23,NE,ignore
2021-03-23,UR,ignore
2021-03-24,SZ,ignore
2021-03-25,GE,ignore
2021-03-25,GR,ignore
2021-03-25,LU,ignore
2021-03-26,JU,ignore
2021-03-29,GE,ignore
2021-03-29,OW,ignore
2021-03-29,SH,ignore
2021-03-29,SO,ignore
2021-03-29,UR,ignore
2021-03-29,VS,ignore
2021-03-31,TI,ignore
2021-04-01,SZ,ignore
2021-04-05,SO,ignore
2021-04-06,SH,ignore
2021-04-06,UR,ignore
2021-04-07,VS,ignore
2021-04-12,SH,ignore
2021-04-12,UR,ignore
2021-04-13,GL,ignore
2021-04-12,SO,ignore
2021-04-14,SZ,ignore
2021-04-16,ZG,ignore
2021-04-19,SG,ignore
2021-04-19,SH,ignore
2021-04-19,SO,ignore
2021-04-19,UR,ignore
2021-04-20,TI,ignore
2021-04-24,JU,ignore
2021-04-24,TI,ignore
2021-04-26,OW,ignore
2021-04-26,SO,ignore
2021-04-26,TG,ignore
2021-04-27,SO,ignore
2021-04-28,JU,ignore
2021-05-03,SO,ignore
2021-05-03,UR,ignore
2021-05-08,JU,ignore
2021-05-09,BS,ignore
2021-05-10,UR,ignore
2021-05-10,SO,ignore
2021-05-17,OW,ignore
2021-05-18,AI,ignore
2021-05-19,BE,ignore
2021-05-20,GR,ignore
2021-05-21,AI,ignore
2021-05-25,OW,ignore
2021-05-25,SH,ignore
2021-05-27,LU,ignore
2021-05-28,TG,ignore
2021-05-31,SO,ignore
2021-06-02,BS,ignore
2021-06-07,OW,ignore
2021-07-04,VD,ignore
2021-07-05,TI,ignore
2021-07-06,SG,ignore
2021-07-11,VD,ignore
2021-07-12,GE,ignore
2021-07-13,ZH,ignore
2021-07-19,BL,ignore
2021-07-19,SG,ignore
2021-07-19,SO,ignore
2021-07-19,VS,ignore
2021-07-20,AG,ignore
2021-07-20,GR,ignore
2021-07-20,ZH,ignore
2021-07-22,ZH,ignore
2021-07-26,BE,ignore
2021-07-26,SO,ignore
2021-07-26,TI,ignore
2021-07-27,ZH,ignore
2021-07-30,BS,ignore
2021-08-02,AG,ignore
2021-08-02,LU,ignore
2021-08-02,SO,ignore
2021-08-02,TI,ignore
2021-08-03,BS,ignore
2021-08-09,BL,ignore
2021-08-09,SO,ignore
2021-08-09,TI,ignore
2021-08-16,BE,ignore
2021-08-16,BL,ignore
2021-08-16,LU,ignore
2021-08-16,OW,ignore
2021-08-16,SG,ignore
2021-08-16,SH,ignore
2021-08-16,SO,ignore
2021-08-16,UR,ignore
2021-08-16,TI,ignore
2021-08-17,BS,ignore
2021-08-17,LU,ignore
2021-08-17,SH,ignore
2021-08-17,ZG,ignore
2021-08-17,ZH,ignore
2021-08-18,ZG,ignore
2021-08-23,TI,ignore
2021-08-23,LU,ignore
2021-08-23,SG,ignore
2021-08-24,GR,ignore
2021-08-24,LU,ignore
2021-08-24,ZH,ignore
2021-08-30,SO,ignore
2021-09-06,SO,ignore
2021-09-06,TG,ignore
2021-09-06,UR,ignore
2021-09-07,NE,ignore
2021-09-08,GL,ignore
2021-09-13,OW,ignore
2021-09-13,SO,ignore
2021-09-13,TI,ignore
2021-09-13,UR,ignore
2021-09-20,TI,ignore
2021-09-17,UR,ignore
2021-09-27,UR,ignore
2021-10-18,NE,ignore
2021-10-19,AI,ignore
2021-10-21,NE,ignore
2021-10-25,SO,ignore
2021-10-25,TI,ignore
2021-11-02,OW,ignore
2021-11-03,AI,ignore
2021-11-08,OW,ignore
2021-11-08,SO,ignore
2021-11-08,TI,ignore
2021-11-08,UR,ignore
2021-11-21,VD,ignore
2021-11-22,SO,ignore
2021-11-22,TI,ignore
2021-11-29,GL,ignore
2021-11-29,SO,ignore
2021-11-29,TI,ignore
2021-11-29,UR,ignore
2021-12-05,VD,ignore
2021-12-06,FL,ignore
2021-12-06,GL,ignore
2021-12-06,SO,ignore
2021-12-06,UR,ignore
2021-12-07,AG,ignore
2021-12-08,AG,ignore
2021-12-13,SO,ignore
2021-12-13,UR,ignore
2021-12-20,OW,ignore
2021-12-20,SO,ignore
2021-12-20,TI,ignore
2021-12-20,UR,ignore
2021-12-22,FL,ignore
2021-12-27,BE,ignore
2021-12-27,OW,ignore
2021-12-27,TG,ignore
2021-12-28,BE,ignore
2021-12-30,LU,ignore
2021-12-31,FL,ignore
2022-01-02,VD,ignore
2022-01-03,BE,ignore
2022-01-03,BL,ignore
2022-01-03,OW,ignore
2022-01-03,SG,ignore
2022-01-03,SO,ignore
2022-01-03,UR,ignore
2022-01-03,VS,ignore
2022-01-04,BE,ignore
2022-01-04,BL,ignore
2022-01-04,LU,ignore
2022-01-04,NE,ignore
2022-01-04,VS,ignore
2022-01-05,AG,ignore
2022-01-05,BS,ignore
2022-01-05,FL,ignore
2022-01-05,GR,ignore
2022-01-05,LU,ignore
2022-01-05,SH,ignore
2022-01-05,ZG,ignore
2022-01-05,ZH,ignore
2022-01-06,SZ,ignore
2022-01-06,ZH,ignore
2022-01-09,VD,ignore
2022-01-10,OW,ignore
2022-01-10,SO,ignore
2022-01-11,AI,ignore
2022-01-17,SO,ignore
2022-01-24,OW,ignore
2022-01-24,SO,ignore
2022-01-24,UR,ignore
2022-01-25,LU,ignore
2022-01-27,ZH,ignore
2022-01-31,OW,ignore
2022-01-31,SO,ignore
2022-01-31,UR,ignore
2022-02-07,OW,ignore
2022-02-07,SO,ignore
2022-02-07,UR,ignore
2022-02-08,FL,ignore
2022-02-09,SZ,ignore
